"sex" "age" "period" "region" "outcome" "cases" "pop"
"1100" 2 4 2 10 "Incidence" 6 7877
"1101" 1 5 2 10 "Incidence" 6 4792
"1102" 2 5 2 10 "Incidence" 8 5808
"1103" 1 6 2 10 "Incidence" 4 2105
"1104" 2 6 2 10 "Incidence" 4 3448
"1105" 1 1 3 10 "Incidence" 17 38138
"1106" 2 1 3 10 "Incidence" 17 33604
"1107" 1 2 3 10 "Incidence" 7 9568
"1108" 2 2 3 10 "Incidence" 4 7533
"1109" 1 3 3 10 "Incidence" 5 8010
"1110" 2 3 3 10 "Incidence" 4 6739
"1111" 1 4 3 10 "Incidence" 4 8469
"1112" 2 4 3 10 "Incidence" 5 7748
"1113" 1 5 3 10 "Incidence" 7 5138
"1114" 2 5 3 10 "Incidence" 5 6100
"1115" 1 6 3 10 "Incidence" 4 2223
"1116" 2 6 3 10 "Incidence" 4 3755
"1117" 1 1 4 10 "Incidence" 17 36985
"1118" 2 1 4 10 "Incidence" 18 32803
"1119" 1 2 4 10 "Incidence" 4 10018
"1120" 2 2 4 10 "Incidence" 5 7764
"1121" 1 3 4 10 "Incidence" 6 7831
"1122" 2 3 4 10 "Incidence" 5 6566
"1123" 1 4 4 10 "Incidence" 6 8532
"1124" 2 4 4 10 "Incidence" 6 7619
"1125" 1 5 4 10 "Incidence" 5 5484
"1126" 2 5 4 10 "Incidence" 7 6392
"1127" 1 6 4 10 "Incidence" 4 2341
"1128" 2 6 4 10 "Incidence" 5 4062
"1201" 1 1 1 11 "Incidence" 19 155468
"1202" 2 1 1 11 "Incidence" 18 152254
"1203" 1 2 1 11 "Incidence" 6 33303
"1204" 2 2 1 11 "Incidence" 6 34353
"1205" 1 3 1 11 "Incidence" 11 25979
"1206" 2 3 1 11 "Incidence" 6 27008
"1207" 1 4 1 11 "Incidence" 16 19879
"1208" 2 4 1 11 "Incidence" 7 23438
"1209" 1 5 1 11 "Incidence" 14 11184
"1210" 2 5 1 11 "Incidence" 7 17145
"1211" 1 6 1 11 "Incidence" 10 4466
"1212" 2 6 1 11 "Incidence" 4 8830
"1213" 1 1 2 11 "Incidence" 19 153931
"1214" 2 1 2 11 "Incidence" 18 150418
"1215" 1 2 2 11 "Incidence" 7 34899
"1216" 2 2 2 11 "Incidence" 6 36308
"1217" 1 3 2 11 "Incidence" 10 26300
"1218" 2 3 2 11 "Incidence" 6 27239
"1219" 1 4 2 11 "Incidence" 12 21047
"1220" 2 4 2 11 "Incidence" 12 24411
"1221" 1 5 2 11 "Incidence" 8 11675
"1222" 2 5 2 11 "Incidence" 12 18001
"1223" 1 6 2 11 "Incidence" 5 4963
"1224" 2 6 2 11 "Incidence" 5 9846
"1225" 1 1 3 11 "Incidence" 21 151302
"1226" 2 1 3 11 "Incidence" 20 147491
"1227" 1 2 3 11 "Incidence" 8 35054
"1228" 2 2 3 11 "Incidence" 5 37129
"1229" 1 3 3 11 "Incidence" 8 27229
"1230" 2 3 3 11 "Incidence" 8 28277
"1231" 1 4 3 11 "Incidence" 14 21887
"1232" 2 4 3 11 "Incidence" 13 25116
"1233" 1 5 3 11 "Incidence" 9 12516
"1234" 2 5 3 11 "Incidence" 13 18775
"1235" 1 6 3 11 "Incidence" 8 5360
"1236" 2 6 3 11 "Incidence" 4 10907
"1237" 1 1 4 11 "Incidence" 20 148673
"1238" 2 1 4 11 "Incidence" 18 144564
"1239" 1 2 4 11 "Incidence" 6 35209
"1240" 2 2 4 11 "Incidence" 6 37950
"1241" 1 3 4 11 "Incidence" 9 28158
"1242" 2 3 4 11 "Incidence" 7 29315
"1243" 1 4 4 11 "Incidence" 8 22727
"1244" 2 4 4 11 "Incidence" 14 25821
"1245" 1 5 4 11 "Incidence" 11 13357
"1246" 2 5 4 11 "Incidence" 11 19549
"1247" 1 6 4 11 "Incidence" 7 5757
"1248" 2 6 4 11 "Incidence" 4 11968
"1321" 1 1 1 1 "Mortality" 18 534845
"1322" 2 1 1 1 "Mortality" 19 520849
"1323" 1 2 1 1 "Mortality" 5 112303
"1324" 2 2 1 1 "Mortality" 9 116399
"1325" 1 3 1 1 "Mortality" 9 109323
"1326" 2 3 1 1 "Mortality" 11 114217
"1327" 1 4 1 1 "Mortality" 9 83561
"1328" 2 4 1 1 "Mortality" 17 94425
"1329" 1 5 1 1 "Mortality" 14 36217
"1330" 2 5 1 1 "Mortality" 10 57586
"1331" 1 6 1 1 "Mortality" 5 13048
"1332" 2 6 1 1 "Mortality" 10 31059
"1333" 1 1 2 1 "Mortality" 20 517275
"1334" 2 1 2 1 "Mortality" 17 503240
"1335" 1 2 2 1 "Mortality" 10 114984
"1336" 2 2 2 1 "Mortality" 6 119026
"1337" 1 3 2 1 "Mortality" 12 104530
"1338" 2 3 2 1 "Mortality" 9 110965
"1339" 1 4 2 1 "Mortality" 11 90143
"1340" 2 4 2 1 "Mortality" 13 100521
"1341" 1 5 2 1 "Mortality" 14 38613
"1342" 2 5 2 1 "Mortality" 9 60162
"1343" 1 6 2 1 "Mortality" 5 14062
"1344" 2 6 2 1 "Mortality" 5 33923
"1345" 1 1 3 1 "Mortality" 19 499701
"1346" 2 1 3 1 "Mortality" 19 486473
"1347" 1 2 3 1 "Mortality" 7 116704
"1348" 2 2 3 1 "Mortality" 5 120989
"1349" 1 3 3 1 "Mortality" 17 101600
"1350" 2 3 3 1 "Mortality" 8 108472
"1351" 1 4 3 1 "Mortality" 13 93849
"1352" 2 4 3 1 "Mortality" 9 104618
"1353" 1 5 3 1 "Mortality" 10 43529
"1354" 2 5 3 1 "Mortality" 13 65339
"1355" 1 6 3 1 "Mortality" 6 15240
"1356" 2 6 3 1 "Mortality" 6 36931
"1357" 1 1 4 1 "Mortality" 25 482127
"1358" 2 1 4 1 "Mortality" 19 469706
"1359" 1 2 4 1 "Mortality" 8 118424
"1360" 2 2 4 1 "Mortality" 8 122952
"1361" 1 3 4 1 "Mortality" 8 98670
"1362" 2 3 4 1 "Mortality" 12 105979
