"sex" "age" "period" "region" "outcome" "cases" "pop"
"747" 1 2 3 7 "Deaths" 8 40390
"748" 2 2 3 7 "Deaths" 4 38855
"749" 1 3 3 7 "Deaths" 7 32632
"750" 2 3 3 7 "Deaths" 6 30211
"751" 1 4 3 7 "Deaths" 8 25722
"752" 2 4 3 7 "Deaths" 8 26680
"753" 1 5 3 7 "Deaths" 10 13174
"754" 2 5 3 7 "Deaths" 5 18082
"755" 1 6 3 7 "Deaths" 5 5443
"756" 2 6 3 7 "Deaths" 5 10585
"757" 1 1 4 7 "Deaths" 18 159814
"758" 2 1 4 7 "Deaths" 17 156239
"759" 1 2 4 7 "Deaths" 7 41496
"760" 2 2 4 7 "Deaths" 5 40321
"761" 1 3 4 7 "Deaths" 8 33421
"762" 2 3 4 7 "Deaths" 5 31031
"763" 1 4 4 7 "Deaths" 6 27659
"764" 2 4 4 7 "Deaths" 8 28057
"765" 1 5 4 7 "Deaths" 12 14481
"766" 2 5 4 7 "Deaths" 6 19506
"767" 1 6 4 7 "Deaths" 4 5969
"768" 2 6 4 7 "Deaths" 4 11786
"769" 1 1 5 7 "Deaths" 16 156688
"770" 2 1 5 7 "Deaths" 19 152435
"771" 1 2 5 7 "Deaths" 9 42426
"772" 2 2 5 7 "Deaths" 8 41760
"773" 1 3 5 7 "Deaths" 6 35210
"774" 2 3 5 7 "Deaths" 5 33114
"775" 1 4 5 7 "Deaths" 9 28208
"776" 2 4 5 7 "Deaths" 6 28248
"777" 1 5 5 7 "Deaths" 13 16103
"778" 2 5 5 7 "Deaths" 9 21031
"779" 1 6 5 7 "Deaths" 5 6378
"780" 2 6 5 7 "Deaths" 7 12757
"781" 1 1 6 7 "Deaths" 19 153312
"782" 2 1 6 7 "Deaths" 19 148155
"783" 1 2 6 7 "Deaths" 9 43306
"784" 2 2 6 7 "Deaths" 8 43172
"785" 1 3 6 7 "Deaths" 7 37304
"786" 2 3 6 7 "Deaths" 7 35602
"787" 1 4 6 7 "Deaths" 9 28266
"788" 2 4 6 7 "Deaths" 6 28038
"789" 1 5 6 7 "Deaths" 9 17829
"790" 2 5 6 7 "Deaths" 6 22571
"791" 1 6 6 7 "Deaths" 6 6748
"792" 2 6 6 7 "Deaths" 6 13645
